Age,Age-Group,Housing,Job-Type,Credit-Amount,Duration-Months,Credit-Risk
53,Adult,Own,Unskilled,4525,31,0
31,Adult,Own,Skilled,1637,21,1
48,Adult,Own,Skilled,3605,23,1
65,Adult,Rent,Management,2008,18,1
32,Adult,Own,Management,4246,27,1
25,Adult,Own,Skilled,1166,17,1
31,Adult,Own,Skilled,7127,38,1
40,Adult,Free,Skilled,1516,16,0
74,Adult,Own,Unskilled,1875,14,1
57,Adult,Own,Skilled,679,9,1
38,Adult,Free,Unskilled,854,10,0
33,Adult,Rent,Skilled,2676,20,0
62,Adult,Rent,Skilled,1434,12,1
35,Adult,Own,Management,5914,36,1
64,Adult,Own,Skilled,544,15,1
70,Adult,Own,Skilled,1929,19,1
41,Adult,Free,Unskilled,1734,18,1
43,Adult,Own,Management,558,6,1
42,Adult,Own,Management,898,6,1
62,Adult,Own,Skilled,2101,20,1
58,Adult,Rent,Skilled,2536,22,0
46,Adult,Own,Skilled,2054,22,1
32,Adult,Own,Unskilled,2771,17,1
62,Adult,Own,Skilled,3212,21,0
18,Young,Own,Skilled,529,4,1
42,Adult,Own,Unskilled,2371,16,1
24,Young,Own,Skilled,10431,62,0
26,Adult,Own,Unskilled,2695,17,1
41,Adult,Own,Unskilled,3895,28,0
18,Young,Own,Unskilled,1621,13,0
61,Adult,Own,Management,4961,32,0
25,Adult,Own,Skilled,4947,26,1
41,Adult,Own,Management,2710,19,1
28,Adult,Own,Skilled,11690,52,0
68,Adult,Own,Skilled,902,9,1
34,Adult,Own,Skilled,551,4,1
25,Adult,Own,Skilled,4911,35,1
52,Adult,Free,Unskilled,5437,36,0
52,Adult,Own,Skilled,884,12,1
50,Adult,Rent,Unskilled,1426,19,1
22,Young,Own,Skilled,553,4,1
59,Adult,Own,Skilled,1541,20,1
56,Adult,Rent,Unskilled,4950,34,0
58,Adult,Own,Unskilled,2689,18,1
45,Adult,Own,Skilled,1783,19,1
24,Young,Own,Skilled,1894,11,1
26,Adult,Own,Unskilled,504,5,1
25,Adult,Free,Management,1569,11,1
29,Adult,Rent,Unskilled,3619,21,0
51,Adult,Free,Skilled,11471,59,0
50,Adult,Own,Management,6133,41,0
65,Adult,Rent,Unskilled,571,7,1
72,Adult,Free,Unskilled,7364,44,0
40,Adult,Own,Unskilled,5086,29,0
41,Adult,Own,Skilled,5047,23,1
54,Adult,Rent,Unskilled,2337,18,1
52,Adult,Own,Skilled,2022,8,1
61,Adult,Rent,Unskilled,1582,13,0
57,Adult,Own,Skilled,703,4,1
39,Adult,Rent,Management,1277,20,1
44,Adult,Own,Skilled,1349,16,1
52,Adult,Own,Skilled,2485,18,1
18,Young,Own,Skilled,4628,34,0
52,Adult,Rent,Skilled,2426,14,1
54,Adult,Own,Skilled,678,11,1
64,Adult,Own,Skilled,9995,56,0
31,Adult,Own,Unskilled,9079,52,0
20,Young,Rent,Management,5113,36,1
18,Young,Own,Skilled,14742,72,0
22,Young,Rent,Unskilled,2858,21,0
43,Adult,Own,Skilled,10371,51,0
72,Adult,Own,Skilled,735,5,0
31,Adult,Own,Skilled,1865,14,1
56,Adult,Own,Skilled,1266,12,1
44,Adult,Rent,Skilled,1153,7,1
26,Adult,Own,Unskilled,955,20,1
32,Adult,Own,Skilled,3421,29,0
32,Adult,Rent,Skilled,5060,33,0
43,Adult,Own,Unskilled,3090,21,0
59,Adult,Own,Skilled,976,10,1
30,Adult,Free,Skilled,5499,29,0
68,Adult,Own,Unskilled,3531,23,1
49,Adult,Own,Skilled,1973,16,0
56,Adult,Free,Unskilled,3863,20,0
66,Adult,Own,Unskilled,1402,14,1
69,Adult,Own,Unskilled,1770,14,1
49,Adult,Own,Management,7984,38,0
21,Young,Rent,Skilled,1529,10,0
47,Adult,Own,Management,2404,16,1
54,Adult,Own,Skilled,7125,49,0
40,Adult,Rent,Unskilled,4190,29,0
56,Adult,Rent,Skilled,692,4,1
62,Adult,Own,Skilled,978,12,0
32,Adult,Own,Skilled,523,4,1
60,Adult,Own,Unskilled,3490,27,0
46,Adult,Rent,Skilled,2280,15,1
53,Adult,Own,Unskilled,932,10,1
30,Adult,Own,Skilled,10005,61,0
49,Adult,Rent,Skilled,2762,14,0
24,Young,Rent,Skilled,1330,7,1
68,Adult,Own,Skilled,2583,16,1
39,Adult,Rent,Skilled,3914,29,0
45,Adult,Own,Skilled,737,4,1
19,Young,Rent,Skilled,1463,4,1
59,Adult,Own,Management,5434,31,0
62,Adult,Own,Management,2346,19,1
74,Adult,Rent,Skilled,2872,25,1
70,Adult,Own,Skilled,2201,15,0
23,Young,Own,Skilled,634,7,0
45,Adult,Rent,Skilled,1043,15,1
45,Adult,Rent,Skilled,2269,9,0
61,Adult,Own,Skilled,1204,10,1
61,Adult,Own,Unskilled,653,10,1
37,Adult,Own,Management,6066,38,0
47,Adult,Own,Skilled,12420,66,0
28,Adult,Own,Skilled,5227,32,1
72,Adult,Own,Skilled,6268,27,1
45,Adult,Free,Management,1331,10,0
42,Adult,Own,Skilled,10204,58,0
56,Adult,Own,Skilled,1157,7,0
50,Adult,Own,Unskilled,9574,54,0
18,Young,Free,Skilled,15000,72,0
74,Adult,Own,Unskilled,4231,25,1
44,Adult,Own,Skilled,12412,68,0
74,Adult,Own,Skilled,3028,17,1
69,Adult,Own,Skilled,1401,12,1
30,Adult,Own,Unskilled,2223,19,1
58,Adult,Rent,Unskilled,3200,22,1
20,Young,Free,Skilled,727,7,0
56,Adult,Own,Unskilled,3421,24,1
23,Young,Own,Unskilled,12418,70,0
25,Adult,Free,Unskilled,1132,4,0
44,Adult,Rent,Management,5219,36,0
26,Adult,Own,Skilled,7654,42,1
54,Adult,Own,Skilled,9131,53,0
50,Adult,Own,Skilled,10166,61,0
68,Adult,Own,Skilled,2711,14,1
59,Adult,Rent,Skilled,11857,62,0
61,Adult,Free,Skilled,4747,28,0
41,Adult,Free,Unskilled,1029,8,1
32,Adult,Own,Unskilled,2443,25,0
71,Adult,Own,Unskilled,4301,24,1
49,Adult,Free,Skilled,1352,10,1
49,Adult,Rent,Skilled,3570,24,1
41,Adult,Own,Skilled,3795,20,1
58,Adult,Free,Unskilled,1032,9,0
69,Adult,Rent,Unskilled,2997,22,1
66,Adult,Own,Management,4930,29,1
66,Adult,Own,Skilled,2572,18,1
69,Adult,Own,Skilled,536,6,1
29,Adult,Own,Skilled,527,4,1
56,Adult,Own,Skilled,1824,16,1
19,Young,Rent,Unskilled,8318,54,0
20,Young,Own,Unskilled,1278,12,1
66,Adult,Own,Skilled,3518,24,0
54,Adult,Own,Skilled,1253,15,1
66,Adult,Own,Skilled,1664,9,1
73,Adult,Free,Skilled,6152,43,0
34,Adult,Own,Unskilled,4415,28,0
66,Adult,Own,Management,800,16,1
19,Young,Rent,Skilled,2179,13,0
19,Young,Own,Skilled,588,16,1
45,Adult,Own,Management,2466,21,1
71,Adult,Own,Skilled,3757,26,0
40,Adult,Own,Skilled,878,11,1
54,Adult,Own,Skilled,1522,12,1
49,Adult,Own,Skilled,2021,20,1
50,Adult,Own,Skilled,8059,46,0
18,Young,Free,Unskilled,15000,72,0
36,Adult,Own,Skilled,637,4,1
19,Young,Own,Management,4793,29,1
70,Adult,Own,Unskilled,1894,16,1
61,Adult,Own,Skilled,1995,15,1
43,Adult,Own,Skilled,4710,34,1
49,Adult,Own,Skilled,8018,38,1
23,Young,Free,Skilled,9543,54,0
49,Adult,Own,Management,3082,14,1
72,Adult,Own,Unskilled,1825,18,1
21,Young,Own,Unskilled,5147,31,0
72,Adult,Free,Unskilled,1367,14,0
28,Adult,Own,Management,2990,17,1
73,Adult,Own,Skilled,1832,20,0
34,Adult,Own,Skilled,3706,28,1
55,Adult,Rent,Skilled,1324,14,0
41,Adult,Own,Management,1138,11,1
22,Young,Rent,Skilled,8011,48,0
69,Adult,Own,Management,822,7,1
51,Adult,Own,Skilled,2615,22,1
23,Young,Own,Skilled,1248,18,1
39,Adult,Own,Skilled,619,13,1
28,Adult,Own,Skilled,610,6,1
65,Adult,Own,Skilled,1077,12,1
33,Adult,Rent,Skilled,6547,33,0
50,Adult,Own,Skilled,1495,15,1
26,Adult,Own,Unskilled,9514,55,0
23,Young,Own,Skilled,3114,14,1
33,Adult,Own,Management,2221,12,1
46,Adult,Own,Management,3103,20,1
20,Young,Own,Unskilled,2681,18,1
37,Adult,Own,Unskilled,4766,24,0
53,Adult,Rent,Unskilled,1495,15,1
36,Adult,Free,Skilled,1806,16,0
43,Adult,Own,Skilled,7235,41,0
20,Young,Own,Unskilled,9281,49,0
36,Adult,Own,Skilled,7192,46,0
37,Adult,Own,Skilled,2131,23,0
49,Adult,Own,Skilled,5047,29,0
24,Young,Own,Skilled,2440,15,1
69,Adult,Rent,Skilled,2564,20,1
58,Adult,Own,Skilled,1187,10,1
50,Adult,Own,Skilled,3183,21,1
57,Adult,Own,Skilled,1117,14,1
56,Adult,Own,Skilled,1708,6,1
35,Adult,Own,Management,6293,42,1
57,Adult,Own,Skilled,1196,12,1
18,Young,Own,Skilled,721,7,1
28,Adult,Rent,Unskilled,714,9,1
45,Adult,Own,Skilled,8979,50,0
74,Adult,Own,Unskilled,2621,12,1
42,Adult,Own,Unskilled,2079,22,1
67,Adult,Own,Skilled,5496,33,0
40,Adult,Own,Management,5920,37,0
48,Adult,Rent,Unskilled,1711,18,1
47,Adult,Rent,Skilled,4048,22,0
59,Adult,Rent,Skilled,4923,32,0
52,Adult,Own,Unskilled,3689,23,1
24,Young,Own,Skilled,993,14,1
33,Adult,Own,Skilled,6759,31,1
43,Adult,Own,Skilled,2823,19,1
65,Adult,Rent,Unskilled,1495,11,1
74,Adult,Own,Skilled,2161,18,0
69,Adult,Own,Skilled,614,10,0
66,Adult,Own,Skilled,910,7,1
19,Young,Own,Unskilled,4851,27,0
18,Young,Own,Skilled,500,8,1
65,Adult,Own,Unskilled,2116,12,1
29,Adult,Own,Skilled,2717,22,1
22,Young,Rent,Unskilled,668,7,1
54,Adult,Rent,Management,11344,51,0
49,Adult,Own,Skilled,1269,10,1
72,Adult,Own,Skilled,1588,9,1
26,Adult,Own,Unskilled,1586,7,1
58,Adult,Own,Skilled,1285,7,1
52,Adult,Own,Management,504,8,1
36,Adult,Own,Management,4420,33,0
65,Adult,Own,Skilled,10719,60,0
33,Adult,Own,Skilled,1261,9,1
20,Young,Own,Skilled,3763,26,1
37,Adult,Own,Management,4563,26,1
41,Adult,Free,Skilled,6160,34,0
71,Adult,Rent,Skilled,2147,12,0
73,Adult,Own,Skilled,1582,6,1
50,Adult,Rent,Skilled,1680,12,1
41,Adult,Own,Unskilled,4240,27,1
69,Adult,Rent,Skilled,5591,33,0
28,Adult,Rent,Skilled,1101,9,0
66,Adult,Own,Skilled,1890,11,0
25,Adult,Own,Unskilled,7466,45,0
53,Adult,Own,Skilled,5430,27,0
55,Adult,Own,Skilled,13070,72,0
57,Adult,Own,Skilled,4710,25,1
37,Adult,Own,Unskilled,1998,12,1
52,Adult,Own,Skilled,3179,16,1
65,Adult,Rent,Skilled,3745,22,0
42,Adult,Free,Skilled,745,13,1
52,Adult,Own,Skilled,2859,22,1
42,Adult,Own,Skilled,4206,30,1
46,Adult,Own,Skilled,1049,13,1
35,Adult,Own,Skilled,5051,26,0
63,Adult,Free,Skilled,3129,20,0
35,Adult,Own,Skilled,9623,50,0
19,Young,Own,Unskilled,630,14,1
71,Adult,Own,Unskilled,1424,8,1
52,Adult,Own,Skilled,3260,25,0
33,Adult,Own,Skilled,1555,17,1
58,Adult,Rent,Skilled,4259,34,0
53,Adult,Own,Skilled,4768,28,1
50,Adult,Own,Skilled,824,12,1
21,Young,Own,Skilled,2663,28,1
50,Adult,Free,Unskilled,2633,16,0
31,Adult,Rent,Skilled,1882,9,0
38,Adult,Own,Skilled,8605,41,0
65,Adult,Own,Unskilled,5772,37,1
37,Adult,Own,Unskilled,4084,18,0
73,Adult,Own,Skilled,4258,25,0
25,Adult,Free,Skilled,2358,19,0
24,Young,Own,Management,8114,47,0
20,Young,Own,Management,4058,27,0
34,Adult,Own,Skilled,4416,28,0
50,Adult,Own,Skilled,6434,43,0
65,Adult,Own,Skilled,1460,9,1
29,Adult,Rent,Skilled,5436,30,0
68,Adult,Own,Unskilled,1151,8,1
39,Adult,Own,Skilled,1770,18,0
72,Adult,Own,Skilled,1726,18,1
39,Adult,Own,Skilled,12022,67,0
63,Adult,Own,Skilled,6325,42,0
47,Adult,Own,Skilled,4123,21,1
55,Adult,Rent,Unskilled,4395,34,0
55,Adult,Own,Skilled,2977,26,0
62,Adult,Own,Skilled,9317,55,0
68,Adult,Own,Unskilled,2557,25,1
71,Adult,Own,Unskilled,1936,9,1
25,Adult,Free,Skilled,1033,9,0
44,Adult,Rent,Skilled,5128,28,0
44,Adult,Own,Skilled,4477,31,0
51,Adult,Own,Skilled,1955,11,0
38,Adult,Own,Management,576,11,1
47,Adult,Own,Skilled,5979,41,0
50,Adult,Own,Skilled,534,11,1
45,Adult,Own,Management,4149,27,0
64,Adult,Own,Skilled,11045,57,0
50,Adult,Own,Unskilled,2226,13,1
22,Young,Rent,Skilled,1303,17,1
65,Adult,Own,Skilled,4161,29,1
36,Adult,Own,Skilled,5596,33,0
21,Young,Rent,Unskilled,2871,18,0
52,Adult,Own,Unskilled,10736,51,0
66,Adult,Own,Skilled,659,5,1
34,Adult,Own,Skilled,2608,26,1
61,Adult,Own,Skilled,4302,22,0
45,Adult,Rent,Skilled,6455,39,0
47,Adult,Rent,Skilled,1092,15,1
46,Adult,Own,Unskilled,5328,27,0
63,Adult,Own,Skilled,2913,21,1
70,Adult,Own,Unskilled,2015,19,1
23,Young,Own,Skilled,923,10,0
52,Adult,Own,Skilled,6514,50,0
58,Adult,Free,Management,1013,4,1
54,Adult,Own,Unskilled,1612,18,1
41,Adult,Free,Unskilled,1527,12,0
46,Adult,Own,Skilled,6653,42,0
66,Adult,Own,Skilled,3850,27,1
63,Adult,Own,Unskilled,5278,29,1
70,Adult,Rent,Management,1364,13,1
48,Adult,Rent,Unskilled,3441,15,0
52,Adult,Rent,Skilled,3044,23,1
50,Adult,Own,Skilled,5866,36,0
69,Adult,Own,Skilled,7596,46,0
38,Adult,Rent,Skilled,536,12,0
49,Adult,Own,Unskilled,3862,26,1
40,Adult,Own,Skilled,659,9,1
50,Adult,Own,Unskilled,2887,16,1
20,Young,Free,Unskilled,1517,10,1
35,Adult,Free,Management,1599,18,0
42,Adult,Own,Unskilled,1806,20,1
59,Adult,Rent,Skilled,3412,22,1
48,Adult,Free,Skilled,1719,14,0
71,Adult,Own,Skilled,4458,24,1
20,Young,Own,Management,2055,20,1
57,Adult,Free,Unskilled,712,12,0
63,Adult,Own,Skilled,5094,39,1
41,Adult,Own,Management,1509,10,1
67,Adult,Own,Skilled,2200,15,0
49,Adult,Free,Management,3969,26,0
64,Adult,Free,Unskilled,1712,17,1
39,Adult,Free,Skilled,674,8,0
40,Adult,Own,Skilled,1904,12,1
19,Young,Rent,Skilled,9171,55,0
44,Adult,Rent,Management,3579,26,0
59,Adult,Own,Skilled,3839,21,0
19,Young,Rent,Skilled,3501,28,0
43,Adult,Own,Unskilled,1165,16,1
34,Adult,Own,Skilled,2125,17,1
57,Adult,Own,Skilled,4670,29,1
50,Adult,Own,Management,820,12,1
26,Adult,Own,Skilled,1476,9,1
60,Adult,Own,Skilled,1470,13,0
71,Adult,Own,Unskilled,2197,8,1
65,Adult,Rent,Unskilled,12291,70,0
56,Adult,Own,Unskilled,709,4,1
46,Adult,Own,Skilled,2693,25,1
59,Adult,Own,Management,1093,10,1
72,Adult,Rent,Skilled,11088,60,0
43,Adult,Own,Skilled,860,7,1
52,Adult,Own,Unskilled,2050,15,1
67,Adult,Rent,Management,4516,34,0
42,Adult,Own,Skilled,4157,16,1
41,Adult,Own,Unskilled,2148,21,0
30,Adult,Own,Skilled,1776,16,1
24,Young,Rent,Skilled,2020,11,1
74,Adult,Own,Unskilled,1420,8,1
53,Adult,Rent,Skilled,1189,18,0
62,Adult,Own,Skilled,2479,14,1
37,Adult,Free,Unskilled,1438,8,0
18,Young,Rent,Management,1516,18,0
25,Adult,Free,Skilled,3707,25,0
63,Adult,Own,Skilled,10876,56,0
33,Adult,Rent,Skilled,3276,23,0
31,Adult,Own,Skilled,740,5,1
29,Adult,Own,Skilled,735,14,1
68,Adult,Own,Skilled,9573,58,0
40,Adult,Rent,Unskilled,1558,15,0
32,Adult,Free,Skilled,789,11,1
45,Adult,Rent,Skilled,3241,29,0
51,Adult,Own,Skilled,3431,23,1
19,Young,Own,Unskilled,3636,19,1
49,Adult,Rent,Skilled,1433,14,0
40,Adult,Own,Unskilled,545,17,1
39,Adult,Own,Skilled,10558,54,0
68,Adult,Own,Unskilled,1366,11,1
42,Adult,Own,Skilled,3881,27,1
39,Adult,Own,Skilled,4178,26,0
39,Adult,Own,Skilled,3324,18,1
66,Adult,Own,Unskilled,1625,18,1
69,Adult,Own,Management,1448,22,1
59,Adult,Free,Management,3231,22,0
23,Young,Own,Management,6531,35,0
32,Adult,Own,Unskilled,9297,46,0
71,Adult,Own,Skilled,835,11,1
60,Adult,Own,Management,1004,15,1
54,Adult,Free,Skilled,9186,53,0
50,Adult,Rent,Unskilled,4501,28,0
25,Adult,Own,Unskilled,6936,38,1
70,Adult,Own,Skilled,1179,7,1
61,Adult,Rent,Management,3157,25,0
61,Adult,Free,Skilled,4123,30,0
22,Young,Own,Skilled,3919,19,0
56,Adult,Own,Unskilled,2073,22,1
21,Young,Own,Skilled,546,11,1
23,Young,Free,Skilled,3123,27,0
62,Adult,Own,Skilled,1375,7,1
49,Adult,Free,Skilled,2294,12,0
69,Adult,Own,Management,9980,55,0
47,Adult,Own,Unskilled,2027,18,0
64,Adult,Own,Skilled,5994,43,0
52,Adult,Own,Skilled,1126,14,1
72,Adult,Own,Skilled,3848,24,1
57,Adult,Own,Skilled,11817,60,0
69,Adult,Own,Skilled,822,15,1
33,Adult,Rent,Skilled,525,4,1
30,Adult,Own,Skilled,2205,23,1
67,Adult,Own,Management,791,8,1
59,Adult,Free,Skilled,4639,35,0
47,Adult,Rent,Unskilled,7879,48,0
36,Adult,Free,Skilled,2207,16,0
34,Adult,Free,Skilled,1398,10,0
73,Adult,Own,Skilled,2209,15,1
36,Adult,Own,Management,4356,29,1
45,Adult,Rent,Management,527,8,0
72,Adult,Own,Skilled,3170,19,1
43,Adult,Own,Management,3350,22,1
54,Adult,Rent,Unskilled,3545,24,0
43,Adult,Own,Unskilled,1331,4,1
70,Adult,Own,Unskilled,4255,29,1
40,Adult,Own,Management,787,6,1
26,Adult,Own,Skilled,1166,7,1
29,Adult,Own,Unskilled,6798,33,0
70,Adult,Own,Skilled,4526,21,1
18,Young,Rent,Skilled,541,4,1
18,Young,Own,Unskilled,1356,9,1
64,Adult,Own,Management,1223,19,1
51,Adult,Rent,Skilled,1447,11,0
49,Adult,Free,Skilled,1353,13,0
71,Adult,Rent,Management,693,11,1
65,Adult,Rent,Skilled,2342,18,1
42,Adult,Own,Management,4458,27,0
57,Adult,Own,Skilled,3299,17,1
62,Adult,Own,Skilled,3852,31,0
70,Adult,Own,Unskilled,753,16,1
18,Young,Own,Management,9577,47,0
33,Adult,Own,Skilled,5969,31,1
56,Adult,Rent,Unskilled,5405,31,0
22,Young,Own,Unskilled,5694,30,1
39,Adult,Own,Skilled,8596,51,0
46,Adult,Own,Skilled,2857,17,1
72,Adult,Own,Skilled,1170,20,1
20,Young,Own,Management,3377,27,1
29,Adult,Rent,Unskilled,4574,29,0
43,Adult,Own,Skilled,4517,32,1
33,Adult,Own,Unskilled,2710,23,1
68,Adult,Own,Management,712,7,1
54,Adult,Rent,Skilled,1891,12,0
39,Adult,Own,Skilled,8106,46,0
74,Adult,Own,Skilled,3134,25,1
46,Adult,Own,Skilled,2818,20,1
31,Adult,Own,Skilled,1439,6,1
45,Adult,Rent,Skilled,1878,12,1
22,Young,Rent,Skilled,7271,42,0
64,Adult,Own,Skilled,3794,24,1
66,Adult,Rent,Skilled,5144,39,0
47,Adult,Rent,Skilled,2317,12,0
63,Adult,Rent,Skilled,3484,25,0
69,Adult,Rent,Unskilled,1356,18,0
22,Young,Own,Skilled,4167,35,1
29,Adult,Own,Skilled,2173,15,1
33,Adult,Own,Unskilled,2253,19,1
43,Adult,Rent,Unskilled,3643,26,1
43,Adult,Own,Unskilled,8759,50,0
65,Adult,Rent,Skilled,698,9,1
38,Adult,Rent,Skilled,5724,36,0
56,Adult,Own,Skilled,1537,4,1
53,Adult,Rent,Skilled,2260,20,0
50,Adult,Own,Skilled,566,9,1
47,Adult,Own,Skilled,1574,12,1
54,Adult,Rent,Skilled,2595,27,1
40,Adult,Own,Skilled,673,6,1
27,Adult,Rent,Management,2526,17,1
71,Adult,Rent,Skilled,8356,55,0
22,Young,Own,Unskilled,834,6,0
53,Adult,Own,Skilled,4837,27,1
51,Adult,Own,Skilled,2081,15,1
69,Adult,Own,Skilled,3694,27,1
48,Adult,Free,Unskilled,1404,13,0
27,Adult,Own,Unskilled,1021,5,1
36,Adult,Own,Management,1024,8,0
49,Adult,Own,Unskilled,719,7,1
18,Young,Own,Skilled,1116,11,0
73,Adult,Rent,Skilled,3773,26,1
22,Young,Own,Skilled,6903,42,0
62,Adult,Rent,Skilled,5548,26,0
21,Young,Own,Skilled,3966,30,0
33,Adult,Free,Skilled,851,11,1
41,Adult,Own,Unskilled,1524,19,1
33,Adult,Own,Unskilled,1612,15,1
72,Adult,Free,Skilled,1362,17,0
19,Young,Own,Skilled,2670,21,0
66,Adult,Free,Management,2800,25,0
45,Adult,Own,Management,1824,17,1
49,Adult,Own,Skilled,1809,14,1
44,Adult,Own,Skilled,5790,44,0
37,Adult,Rent,Skilled,5171,35,0
41,Adult,Own,Skilled,1603,16,1
29,Adult,Own,Management,7852,40,0
67,Adult,Own,Skilled,9661,49,0
52,Adult,Own,Skilled,1686,15,1
50,Adult,Own,Unskilled,1812,15,0
50,Adult,Rent,Skilled,2613,16,1
68,Adult,Free,Skilled,8996,51,0
60,Adult,Free,Management,6770,46,0
54,Adult,Rent,Skilled,824,12,0
29,Adult,Own,Skilled,1996,11,1
20,Young,Rent,Management,2918,20,0
18,Young,Own,Unskilled,2598,15,1
50,Adult,Own,Skilled,1146,10,1
57,Adult,Own,Unskilled,6373,36,1
27,Adult,Own,Skilled,3889,23,1
60,Adult,Rent,Management,5958,30,0
61,Adult,Own,Skilled,6371,37,1
46,Adult,Own,Management,4639,26,1
30,Adult,Own,Skilled,2235,5,1
29,Adult,Free,Management,3329,30,0
48,Adult,Own,Skilled,1024,15,1
63,Adult,Own,Skilled,3859,23,0
19,Young,Own,Unskilled,1092,11,0
68,Adult,Rent,Management,4052,21,1
67,Adult,Own,Skilled,1282,19,1
52,Adult,Own,Skilled,875,17,1
40,Adult,Own,Skilled,1041,11,1
34,Adult,Own,Skilled,505,12,1
43,Adult,Own,Management,4305,28,1
25,Adult,Own,Unskilled,4454,22,0
46,Adult,Free,Skilled,2670,17,1
43,Adult,Own,Skilled,1027,11,1
27,Adult,Own,Unskilled,761,7,1
43,Adult,Free,Unskilled,557,7,1
51,Adult,Own,Unskilled,1043,10,1
68,Adult,Own,Skilled,7145,41,1
58,Adult,Own,Skilled,1329,12,1
24,Young,Own,Skilled,1812,10,1
21,Young,Free,Skilled,833,7,1
70,Adult,Own,Skilled,1254,7,1
67,Adult,Rent,Skilled,2697,23,0
62,Adult,Own,Unskilled,3307,14,1
28,Adult,Own,Management,1344,17,1
46,Adult,Own,Management,678,14,1
73,Adult,Own,Skilled,1987,14,1
53,Adult,Own,Skilled,1300,4,1
42,Adult,Rent,Management,1243,10,1
38,Adult,Own,Unskilled,10146,56,0
74,Adult,Free,Unskilled,3373,18,0
53,Adult,Own,Unskilled,2941,18,0
27,Adult,Rent,Skilled,2112,22,1
54,Adult,Rent,Unskilled,2180,19,0
26,Adult,Rent,Skilled,2835,16,1
41,Adult,Rent,Management,4076,19,1
52,Adult,Rent,Management,4133,25,1
66,Adult,Own,Skilled,1065,10,1
52,Adult,Own,Unskilled,2580,20,1
65,Adult,Own,Skilled,2092,14,1
