Gender,Performance-Rating,Years-At-Company,Training-Hours,Promoted
Male,4,10,31,1
Male,1,4,37,0
Male,4,4,40,0
Female,4,8,43,1
Male,2,1,29,0
Male,3,12,72,1
Male,4,4,48,1
Female,3,14,33,1
Male,4,10,34,1
Male,4,11,44,1
Male,3,4,57,0
Female,2,6,50,0
Female,2,1,27,0
Female,4,7,58,1
Female,4,9,36,1
Male,3,4,56,0
Female,2,14,62,1
Male,4,12,44,1
Male,4,9,27,1
Male,3,2,34,0
Female,4,7,62,1
Female,3,1,54,0
Female,3,14,51,1
Female,3,13,48,1
Female,3,6,14,0
Female,3,9,60,1
Female,3,9,29,0
Male,2,6,23,0
Male,1,10,39,0
Female,3,14,43,1
Female,3,4,38,0
Male,5,12,15,1
Male,2,6,32,0
Male,3,3,36,0
Male,3,9,33,1
Male,3,8,39,1
Female,5,10,42,1
Female,3,12,16,0
Male,3,4,25,0
Male,2,2,40,0
Female,3,8,39,0
Female,3,11,66,1
Female,3,12,47,1
Male,3,12,59,1
Male,4,3,50,1
Male,2,4,51,0
Female,2,12,11,0
Female,2,8,37,0
Male,1,12,56,0
Male,4,1,65,1
Male,4,11,17,1
Male,3,7,30,0
Female,3,11,39,1
Male,2,12,25,0
Female,3,12,47,1
Male,2,9,36,0
Male,3,9,31,1
Male,1,8,40,0
Male,2,14,15,0
Male,3,4,32,0
Female,4,2,35,0
Male,2,13,49,1
Male,3,5,53,0
Male,3,5,49,0
Female,2,7,41,1
Female,5,6,61,1
Female,4,5,49,1
Female,4,11,36,1
Male,3,3,43,0
Female,5,13,36,1
Male,4,7,48,1
Male,3,14,53,1
Female,3,9,55,1
Female,1,11,47,0
Male,2,5,29,0
Male,3,13,29,1
Female,2,4,72,0
Female,3,2,27,0
Female,3,3,60,0
Male,2,11,60,1
Female,3,11,51,1
Male,3,13,44,1
Female,2,14,41,1
Female,3,13,64,1
Male,4,9,46,1
Female,1,7,28,0
Male,4,9,47,1
Female,3,13,56,1
Male,4,7,31,1
Male,2,6,63,0
Male,3,4,44,0
Female,3,4,48,1
Female,3,2,26,0
Female,4,11,32,1
Male,3,4,50,0
Female,4,8,51,1
Male,3,5,65,0
Female,3,1,32,0
Male,4,8,41,1
Female,1,14,23,0
Female,3,10,49,1
Female,3,8,35,0
Female,3,5,48,0
Female,3,3,47,1
Female,4,14,35,1
Male,5,5,42,1
Female,3,7,49,1
Male,3,5,39,0
Male,3,3,42,0
Female,2,8,31,0
Female,4,12,53,1
Male,3,7,41,0
Male,4,6,31,1
Female,4,3,34,1
Female,4,7,54,1
Male,5,10,69,1
Female,4,5,64,1
Male,3,9,46,0
Female,1,5,59,0
Male,1,9,31,0
Female,3,12,31,1
Male,3,14,44,1
Male,3,9,36,1
Female,3,7,57,1
Female,2,12,36,1
Male,3,13,55,1
Male,3,5,33,0
Male,3,12,45,1
Male,4,7,26,1
Female,3,4,57,0
Female,2,11,36,1
Male,3,4,62,0
Female,4,2,45,1
Male,3,3,44,0
Male,4,12,42,1
Male,3,9,57,1
Female,5,2,19,0
Male,3,5,21,0
Male,3,8,23,1
Female,3,7,45,1
Female,3,5,49,0
Male,3,9,38,0
Female,2,1,16,0
Female,3,10,52,1
Female,4,10,49,1
Female,4,4,22,1
Female,3,11,42,1
Female,3,11,66,1
Female,2,4,49,0
Female,3,12,22,0
Female,3,1,51,0
Female,3,1,20,0
Female,4,12,44,1
Female,3,9,41,1
Female,2,8,28,0
Female,4,10,53,1
Female,4,14,52,1
Female,3,6,51,0
Female,4,12,61,1
Male,4,5,43,1
Female,4,3,47,1
Male,4,11,29,1
Female,3,6,72,0
Female,4,9,38,1
Male,3,2,32,0
Male,3,12,46,1
Male,3,1,31,0
Female,4,8,43,1
Male,4,12,19,0
Female,3,2,46,1
Male,4,11,53,1
Male,3,11,42,1
Male,3,13,41,1
Male,2,2,43,0
Female,3,4,41,0
Female,5,5,46,1
Female,3,3,41,1
Female,4,10,66,1
Female,3,7,32,0
Male,3,3,42,0
Female,3,9,47,0
Male,3,12,39,1
Female,4,14,21,1
Male,3,4,48,0
Female,5,13,56,1
Female,3,11,65,1
Female,4,5,44,1
Male,3,8,19,0
Male,3,10,56,1
Female,5,5,50,1
Male,4,9,41,1
Male,5,10,32,1
Female,3,5,22,0
Male,4,11,59,1
Female,5,11,65,1
Male,2,2,55,0
Female,3,13,39,1
Female,3,1,72,1
Male,3,10,53,1
Female,3,14,33,1
Female,3,11,48,0
Male,3,4,53,0
Female,4,12,32,1
Male,5,14,50,1
Male,3,4,27,0
Female,5,10,40,1
Male,1,10,65,0
Male,5,6,65,1
Male,3,8,42,0
Male,4,1,47,0
Male,5,13,25,1
Male,3,9,28,0
Female,3,13,48,1
Female,5,9,68,1
Male,3,10,28,1
Female,4,5,41,1
Female,3,13,27,1
Female,3,3,46,0
Female,4,13,33,1
Male,3,3,45,0
Female,3,3,56,1
Male,3,7,58,1
Female,2,13,38,1
Female,2,4,46,0
Female,3,3,33,0
Male,3,8,35,0
Female,3,10,33,1
Female,4,2,51,0
Female,2,14,51,1
Female,3,1,44,0
Female,3,1,60,0
Female,3,6,64,1
Female,4,12,28,1
Male,1,12,39,0
Male,4,9,30,1
Female,3,1,43,0
Female,3,4,58,1
Male,5,5,40,1
Male,5,8,48,1
Male,5,6,49,1
Female,3,2,56,0
Female,2,8,37,0
Male,4,10,40,1
Male,2,14,35,0
Male,3,8,53,1
Female,2,10,59,0
Female,3,11,41,1
Female,3,7,52,1
Female,2,10,38,0
Male,5,10,42,1
Female,4,5,38,1
Male,3,9,44,0
Female,3,2,26,0
Male,4,2,62,0
Male,5,2,37,1
Male,5,8,42,1
Male,3,14,63,1
Male,2,10,54,0
Male,3,1,53,0
Female,3,12,52,1
Female,4,5,41,1
Female,3,1,31,0
Male,2,10,38,1
Male,3,13,55,1
Male,5,8,37,1
Male,4,1,55,0
Female,4,3,41,1
Female,2,1,57,0
Female,3,10,27,0
Female,3,10,21,0
Female,4,8,43,1
Female,4,4,38,0
Male,3,4,27,0
Female,3,8,70,1
Female,3,2,42,0
Female,3,13,59,1
Female,4,12,47,1
Female,3,14,48,1
Female,2,1,42,0
Female,5,8,36,1
Male,2,9,54,1
Male,5,2,29,1
Male,3,7,55,0
Male,3,3,55,0
Male,2,9,52,0
Male,4,14,38,1
Female,2,11,47,0
Male,5,2,31,1
Female,3,7,61,1
Female,4,5,38,1
Female,3,11,39,1
Male,3,13,61,1
Female,1,7,38,0
Female,4,6,39,0
Female,3,1,73,1
Male,4,4,30,0
Male,4,6,38,0
Female,4,8,39,1
Male,3,3,44,0
Male,5,8,38,1
Female,4,7,58,1
Male,3,13,51,1
Female,4,10,58,1
Female,3,3,23,0
Female,3,12,55,1
Female,2,4,40,0
Female,3,5,43,0
Female,4,5,61,1
Male,3,9,39,1
Male,3,8,63,0
Male,3,5,36,0
Male,4,4,32,1
Female,5,14,54,1
Female,2,6,50,0
Female,3,1,58,0
Male,2,1,46,0
Male,3,6,65,1
Female,2,11,60,1
Female,3,13,38,1
Female,1,5,55,0
Male,3,14,59,1
Male,4,6,27,1
Male,5,2,37,1
Male,4,4,57,1
Male,3,7,28,0
Female,2,8,54,0
Male,3,5,57,1
Female,2,7,36,0
Female,3,9,34,1
Male,3,4,56,0
Female,3,1,35,0
Female,3,2,44,0
Male,4,10,61,1
Male,2,5,50,0
Male,2,14,41,1
Female,3,13,54,1
Male,2,12,39,0
Female,4,10,48,1
Female,3,9,40,1
Female,2,13,33,0
Female,3,8,42,1
Female,3,7,43,0
Female,4,4,49,1
Male,3,2,50,0
Male,2,2,58,0
Female,3,1,47,0
Male,4,10,48,1
Female,1,11,38,0
Female,3,2,64,0
Male,3,12,41,1
Female,2,8,54,0
Male,3,6,58,0
Female,4,6,51,1
Female,3,2,45,0
Male,5,9,35,1
Female,3,6,27,1
Female,1,12,47,0
Female,3,2,42,0
Male,3,7,30,1
Male,5,7,57,1
Male,4,3,59,1
Male,3,11,39,1
Male,4,2,48,1
Male,3,1,42,0
Female,3,10,38,1
Male,2,13,35,0
Male,3,2,34,0
Male,5,3,32,1
Female,4,4,38,1
Male,5,8,52,1
Male,3,12,50,1
Male,3,4,47,0
Female,2,8,48,0
Female,4,4,50,1
Female,4,2,37,1
Male,3,8,33,0
Female,3,14,41,1
Female,3,1,62,0
Female,3,9,46,1
Female,3,11,36,1
Male,4,12,32,1
Female,4,6,43,1
Male,3,11,54,1
Female,3,9,43,1
Male,4,3,43,1
Female,3,13,53,1
Female,3,9,57,1
Female,3,9,26,0
Male,3,9,48,1
Female,3,8,38,1
Female,1,5,67,0
Female,3,1,40,0
Female,3,10,38,1
Female,2,14,37,1
Male,3,13,69,1
Female,3,6,30,0
Male,3,7,39,0
Female,3,13,41,1
Male,1,3,45,0
Male,3,7,57,1
Male,1,9,54,0
Male,5,8,30,1
Male,3,9,34,1
Male,5,3,25,1
Male,2,7,41,0
Female,2,5,36,0
Female,3,7,23,0
Female,3,4,58,0
Female,4,8,59,1
Male,4,13,32,1
Female,1,14,35,0
Female,3,10,35,1
Male,3,11,40,1
Female,3,13,36,1
Male,3,11,26,1
Male,3,1,62,1
Male,3,9,58,0
Male,3,12,30,1
Female,3,6,40,0
Female,5,9,54,1
Female,3,4,43,1
Female,3,11,73,1
Male,4,5,53,1
Female,3,10,62,1
Female,5,1,38,1
Male,5,2,38,1
Male,3,9,34,0
Male,5,11,39,1
Female,4,2,36,0
Male,3,6,34,1
Female,2,12,38,1
Female,3,13,69,1
Female,4,10,34,1
Female,3,1,55,0
Male,3,14,20,1
Female,1,14,38,0
Female,2,6,28,0
Female,3,4,45,0
Female,3,2,81,0
Male,5,12,41,1
Female,3,14,34,1
Male,4,2,42,1
Male,4,10,31,1
Male,3,9,42,0
Female,4,14,32,1
Male,3,5,61,1
Female,3,7,41,1
Female,5,11,39,1
Male,1,1,64,0
Male,3,10,58,1
Female,4,1,64,1
Female,3,1,74,0
Male,3,14,33,1
Female,5,4,54,1
Male,3,3,35,0
Male,2,11,20,0
Female,3,10,34,1
Male,3,1,68,0
Male,5,7,43,1
Male,4,2,43,1
Male,4,9,29,1
Male,4,2,37,1
Male,4,11,58,1
Male,3,14,41,0
Female,4,10,41,1
Female,4,4,34,1
Female,1,8,48,0
Female,2,3,34,0
Female,3,13,72,1
Female,3,14,21,1
Female,3,3,56,0
Male,5,1,47,1
Female,3,14,34,1
Male,3,4,52,0
Male,2,11,56,0
Male,3,12,41,1
Female,3,5,38,0
Female,4,5,55,1
Male,4,2,52,0
Female,4,2,40,0
Female,3,7,38,0
Female,3,13,13,1
Male,2,9,47,0
Male,3,12,56,1
Female,3,7,50,1
Female,3,3,36,0
Female,1,5,41,0
Male,2,2,52,0
Female,3,14,39,1
Male,2,3,50,0
Male,3,4,44,0
Male,4,10,84,1
Male,4,2,48,0
Female,3,5,53,1
Male,5,4,39,1
Male,3,12,52,1
Male,3,11,57,0
Male,2,3,46,0
Male,5,6,40,1
Male,4,11,45,1
Male,4,14,58,1
Male,2,7,53,0
Female,5,14,45,1
Female,2,8,38,0
Female,3,13,52,1
Male,4,9,41,1
Male,5,9,49,1
Male,3,13,50,1
Male,3,8,37,0
Male,4,5,49,1
Female,4,9,38,1
Male,4,5,36,1
Male,4,4,23,1
Male,5,13,46,1
Male,1,5,43,0
Male,2,12,52,0
Female,3,2,58,0
Female,2,2,55,0
Female,4,13,44,1
Male,3,4,38,0
Female,3,5,46,0
Male,3,6,26,0
Female,4,8,36,1
Male,5,14,55,1
Female,4,1,47,0
Male,2,2,62,0
Female,3,8,37,0
Female,3,1,21,0
Male,3,5,53,1
Male,5,11,59,1
Male,3,13,50,1
Female,4,9,26,1
Female,3,6,47,1
Male,4,1,36,0
Female,3,2,52,0
Male,5,4,55,1
Female,3,12,58,1
Male,3,9,59,1
Female,3,4,41,0
Female,3,8,72,1
Female,4,7,69,1
Female,3,13,53,1
Female,3,9,33,0
Female,3,8,73,1
Male,3,10,44,1
Female,3,11,54,1
Male,3,13,57,1
Female,3,13,57,1
Female,5,11,67,1
Female,3,8,49,0
Female,4,10,68,1
Male,2,11,36,0
Female,3,6,49,0
Male,1,9,43,0
Female,2,10,59,1
Female,3,9,45,1
Male,4,11,45,1
Male,3,8,46,0
Male,3,10,53,1
Female,3,7,38,1
Male,2,12,47,0
Female,3,4,25,1
Male,3,2,42,0
Male,2,7,50,0
Female,3,2,33,0
Female,3,12,60,1
Female,5,11,56,1
Male,3,1,55,0
Male,3,5,41,0
Male,1,5,40,0
Male,2,7,36,0
Male,3,9,19,0
Male,3,9,53,1
Female,3,12,41,1
Male,3,11,62,1
Male,3,3,33,0
Male,4,8,37,1
Female,4,14,52,1
Male,3,1,54,0
Female,1,12,53,0
Male,2,10,56,1
Male,1,13,42,0
Female,3,12,30,0
Male,3,3,52,0
Female,3,7,42,0
Male,4,1,48,1
Female,4,5,48,1
Female,4,11,73,1
Male,3,7,41,0
Male,3,6,54,0
Female,3,8,32,1
Female,3,11,55,1
Male,2,3,36,0
Female,3,6,48,0
Male,1,11,20,0
Female,5,9,34,1
Male,4,12,58,1
Male,2,1,31,0
Male,4,10,37,1
Male,3,12,49,1
Male,4,14,59,1
Male,2,6,42,0
Male,3,8,48,1
Male,1,10,24,0
Female,4,3,58,1
Female,3,7,45,0
Female,3,10,31,1
Female,4,6,66,1
Female,2,7,12,0
Female,3,14,48,1
Female,4,14,36,1
Female,4,13,29,1
Female,3,3,37,0
Female,3,2,24,0
Male,3,11,47,1
Female,3,9,38,1
Male,1,14,31,0
Female,1,14,48,0
Male,4,1,80,1
Male,3,1,37,0
Male,2,4,49,0
Female,4,13,45,1
Male,3,13,43,1
Male,4,4,32,1
Female,2,1,44,0
Male,3,3,38,0
Male,2,4,46,0
Female,3,1,43,0
Female,4,4,28,0
Male,5,3,47,1
Female,5,7,53,1
Male,4,2,46,0
Female,3,9,32,0
Male,3,7,44,0
Female,3,4,46,1
Male,4,1,47,1
Male,2,7,35,0
Female,4,3,49,1
Male,5,3,38,1
Male,3,5,53,0
Male,2,6,31,0
Male,5,3,53,1
Male,3,3,26,0
Female,4,10,48,1
Female,4,14,47,1
Female,2,12,39,0
Female,2,12,49,1
Male,5,1,40,1
Female,2,5,39,0
Male,4,2,40,0
Female,4,7,76,1
Female,3,10,52,1
Female,4,1,37,0
Female,3,7,28,0
Female,4,9,38,1
Male,3,14,50,1
Male,4,14,32,1
Male,3,9,53,0
Female,3,13,52,1
Male,3,1,53,0
Male,4,10,50,1
Female,5,3,39,1
Female,5,7,22,1
Female,4,4,52,1
Male,2,9,54,0
Male,5,13,42,1
Female,4,10,32,1
Female,3,6,57,1
Male,3,4,32,0
Male,3,8,40,0
Female,3,12,57,1
Male,2,2,36,0
Female,2,5,37,0
Female,4,4,44,1
Male,3,2,60,0
Male,2,12,43,1
Male,3,2,28,0
Male,3,9,43,1
Male,4,11,36,1
Male,3,1,30,1
Male,3,10,43,1
Female,3,5,30,1
Female,3,8,38,0
Female,1,1,65,0
Male,2,7,44,0
Male,3,5,24,0
Female,2,14,40,1
Male,4,1,43,0
Male,5,3,58,1
Male,3,4,30,0
Male,2,6,47,0
Female,3,1,35,0
Female,4,1,40,1
Female,3,7,16,0
Female,2,10,43,0
Male,5,14,32,1
Male,3,3,32,0
Male,4,10,38,1
Male,1,1,51,0
Female,3,11,37,1
Male,3,13,29,1
Male,2,12,56,0
Male,1,3,38,0
Female,3,11,38,0
Male,3,8,56,1
Female,2,9,36,0
Male,3,5,43,0
Female,5,2,62,1
Male,3,6,37,0
Female,1,3,63,0
Female,3,8,41,1
Male,4,10,62,1
Male,2,3,64,0
Male,3,2,46,0
Female,3,13,28,1
Male,3,10,64,1
Female,2,10,56,1
Female,2,12,39,0
Female,1,5,52,0
