Race,GPA,SAT-Score,Extra-Curriculars,Legacy-Status,Admitted
White,3.1795871114454384,1368,4,0,1
White,2.7114370586309398,1144,3,0,1
White,3.570534196018728,1494,2,0,1
White,3.186135597327487,1351,2,0,1
White,3.3052715661750494,1340,2,0,1
White,2.9230912254074206,1181,0,0,1
White,3.198462069896757,1413,1,0,1
White,3.151908580540718,1307,2,0,1
Hispanic,3.0510637237743716,1225,4,0,1
White,2.6719621460298772,1220,1,0,0
Hispanic,3.234018692150787,1387,5,0,1
White,3.6645769398810524,1455,3,0,1
White,3.0350291938575777,1421,2,0,1
Asian,3.9724699499120506,1600,2,0,1
Black,3.280459557487922,1424,2,0,1
Asian,3.5954563028847604,1458,2,0,1
White,3.4301352008815535,1464,1,1,1
White,2.9439295622394317,1384,2,0,1
Asian,3.370313290898048,1220,2,0,1
White,3.047164098625325,1462,0,0,1
White,3.314040714183504,1318,2,0,1
Asian,3.500267886103451,1600,2,0,1
White,2.9066567902495946,1311,5,0,1
White,3.674115441768052,1420,0,0,1
Hispanic,3.0438116206968244,1242,2,0,0
White,2.8122605349799765,1366,4,0,1
Asian,3.2276277642547337,1255,4,0,1
Asian,2.798086033325794,1187,2,0,0
White,2.7529129730122524,1164,8,0,1
White,2.70286688382586,1246,2,0,1
Asian,4.0,1573,2,0,1
Asian,3.5132879085405846,1581,3,0,1
White,3.406725196384678,1419,3,0,1
White,3.4168445102111895,1479,0,0,1
White,3.446551494751464,1495,2,0,1
Black,3.676193423895728,1463,3,0,1
Black,3.318777675065945,1515,4,0,1
Black,3.2696593528946405,1401,3,0,1
Asian,2.7178497591610844,1326,1,0,0
Black,2.9090366077749135,1255,1,0,0
White,3.360578881293706,1490,1,0,1
White,2.6652304328989973,1160,3,0,0
White,3.5333499297568736,1446,3,0,1
Hispanic,3.1860170148172444,1247,1,0,0
White,3.061911161253079,1270,2,0,1
White,3.853493711876061,1506,2,0,1
Black,2.8456966037459654,1225,1,0,0
White,3.225466880488175,1371,4,0,1
Black,3.046851338147608,1375,2,0,1
White,3.8776468160244124,1570,0,0,1
Hispanic,2.896945762064032,1291,2,0,0
White,3.1908075458041933,1373,4,0,1
White,2.977521092372667,1295,4,0,1
Hispanic,3.410405009376424,1463,2,0,1
Asian,3.532390667835396,1388,1,0,1
White,2.623766401631727,1218,2,0,0
White,3.0368847808815542,1210,5,0,1
Asian,3.2968881562682,1433,2,0,1
Asian,3.410719699027374,1412,5,0,1
Hispanic,3.061780654575651,1435,3,0,1
Hispanic,3.208410652903611,1260,0,0,0
White,3.5295848538377834,1327,2,0,1
White,3.5833084242016424,1554,1,0,1
White,2.306798907654259,1142,3,0,0
White,3.1519625062310466,1351,3,0,1
Hispanic,3.0084617619580656,1397,4,0,1
Black,3.281115247997208,1448,1,0,1
Asian,3.4567501868904893,1363,2,0,1
Black,2.8903051137632287,1239,2,0,0
White,3.0833363694643436,1350,1,0,1
White,3.251677407515774,1361,2,0,1
White,3.428358742285851,1387,3,0,1
White,2.907761763708769,1357,1,0,1
White,3.1845678027699886,1330,4,0,1
White,2.728767147574664,1269,5,0,1
Black,3.1977440278926927,1332,2,0,1
White,3.2294746621505297,1326,0,0,1
White,2.713799652649683,1278,4,0,1
White,3.611661855182406,1505,2,0,1
Black,3.445335125780992,1367,3,0,1
White,2.8331287270162333,1320,1,0,1
Black,3.3050540464756555,1486,3,0,1
White,3.3042199135269934,1304,2,0,1
White,2.4748131854420508,1088,2,0,0
White,3.020583859632699,1502,1,0,1
White,3.3139721210183573,1320,1,0,1
Hispanic,2.5947219110127206,1179,1,0,0
White,2.9936227122452066,1182,3,0,1
White,3.43282443822455,1430,2,0,1
White,3.361290899574027,1373,2,0,1
White,2.674613442464476,1176,2,0,0
Hispanic,3.64050479304191,1476,4,0,1
White,3.4156685125038555,1480,5,0,1
Hispanic,3.4408459575291332,1319,2,0,1
Hispanic,4.0,1482,3,0,1
White,3.1205727778095835,1332,3,0,1
White,3.5930110664323793,1329,4,1,1
Black,2.595044855432814,1160,2,0,0
White,3.443469039788128,1321,1,0,1
White,4.0,1600,3,0,1
White,3.5063818941860356,1336,2,0,1
White,3.051884112952415,1406,1,0,1
White,2.56920933989548,1157,2,0,0
White,3.0169746969920546,1382,2,0,1
Hispanic,3.3663243739722675,1551,4,0,1
White,2.4140317008190983,1277,1,0,0
White,3.2883562689929184,1416,2,0,1
White,2.999119871151052,1460,3,0,1
Black,2.8659766165859413,1277,1,0,0
Black,3.3304883329291948,1370,2,0,1
White,2.9725180049627666,1287,3,0,1
White,2.962478419124952,1363,2,0,1
White,2.99045852529997,1236,4,0,1
Asian,2.7727547348863406,1149,0,0,0
Hispanic,3.3272449436961664,1303,2,0,1
Asian,2.479020715823736,1195,3,0,0
Hispanic,3.2721172292231295,1368,0,1,1
White,3.436472936670979,1479,0,0,1
White,3.5945625673621713,1355,2,0,1
Black,3.370181660204776,1384,2,0,1
White,3.6969869155755335,1517,1,0,1
White,2.700550203783029,1126,1,0,0
White,3.0686290593759877,1357,2,0,1
White,2.880776238135759,1196,1,0,0
White,2.4662040786679604,1203,0,0,0
Asian,3.391666532216364,1492,1,0,1
White,3.517270658088654,1492,2,0,1
Black,3.1782449127447525,1386,1,0,0
White,3.6651758454977403,1395,0,0,1
White,3.112831415967715,1336,0,0,1
White,3.0315350460079573,1465,4,0,1
White,3.4167236770134197,1219,0,0,1
White,3.3403309904198446,1462,2,0,1
White,3.5783695285481523,1458,2,0,1
Hispanic,2.927410978547406,1291,4,0,1
White,2.61461563870828,1260,1,0,0
Hispanic,2.836629860946442,1329,2,0,1
White,2.7893312624985396,1287,0,0,1
Hispanic,3.3443619531331343,1484,1,0,1
Hispanic,3.5005636689380104,1538,2,0,1
White,3.6002264358873366,1519,2,0,1
Black,2.8753642006425837,1294,0,0,0
Hispanic,3.045872501205769,1246,2,0,0
Asian,2.918516194667451,1359,3,0,1
White,3.3543782295224944,1437,3,0,1
Hispanic,3.279249881623565,1461,5,0,1
White,3.336570700658161,1394,2,0,1
White,2.876951978213702,1356,4,0,1
White,2.7837101407345672,1113,1,0,1
White,3.0987777305423854,1337,0,0,0
Black,2.769582178926287,1365,2,1,1
White,3.8296767922878865,1484,4,0,1
White,3.386576806929667,1302,0,0,1
Asian,2.7083537765654904,1327,0,0,1
White,3.6480040309211232,1457,4,0,1
White,3.098253983195013,1396,3,0,1
Hispanic,3.230226029738779,1494,3,0,1
White,3.597679819709671,1588,4,0,1
White,3.3722746804544457,1388,0,0,1
White,3.000588276559771,1431,1,0,1
White,3.372514477982957,1399,3,0,1
White,2.58565743833803,1323,0,0,0
White,2.6626798798696254,1411,2,0,1
Hispanic,3.4302369649541133,1297,2,0,1
Asian,3.1669998071954457,1456,6,0,1
White,2.8148353796358396,1190,5,0,0
Black,3.2399052570877096,1274,5,0,1
White,3.375286167392123,1516,3,0,1
Black,2.789556264910693,1317,1,1,0
Hispanic,3.592974050625389,1285,3,0,1
White,3.6454948202443984,1414,1,0,1
White,3.423971243977794,1374,3,0,1
Asian,2.731087805731386,1163,2,0,0
Black,3.2794334190022987,1379,3,0,1
Black,3.603262734288852,1439,2,0,1
Black,2.9331775215936546,1361,1,0,1
White,2.885765747176668,1303,1,1,1
White,2.783072358293731,1261,3,0,1
White,2.849319314095574,1358,2,0,1
Hispanic,2.9615919230731453,1408,2,0,1
Asian,3.4253326276136407,1349,0,0,1
White,3.6246372651297243,1378,3,0,1
White,2.6656700048132906,1184,2,0,1
White,3.4158931375182258,1537,2,0,1
Asian,3.478320950652334,1322,2,0,1
Black,3.4709925933791292,1411,4,0,1
White,3.6230098868000224,1484,5,0,1
Asian,2.7176472989368277,1258,2,0,0
Black,2.7796615383882513,1287,2,0,1
White,3.597014585112651,1590,1,1,1
White,3.6081193482403764,1374,3,1,1
Black,2.521635940996381,1191,3,0,0
Asian,2.8547366798411407,1320,1,0,1
Hispanic,3.5428508712734232,1447,3,0,1
Black,3.194086048431418,1377,2,0,1
Black,3.5278205067770942,1495,4,0,1
White,3.23973893854097,1319,1,1,1
White,3.4608214662442576,1354,2,0,1
Black,2.7555881609956674,1262,3,0,0
White,2.902175766307914,1195,3,0,1
White,2.937141426574307,1306,1,0,1
White,3.347280958545109,1384,3,0,1
Hispanic,3.462703395839121,1500,2,0,1
White,3.2998420077575488,1387,2,0,1
White,3.0334617521833147,1238,4,0,1
White,3.2079617370196982,1491,1,0,1
Black,3.115815789490012,1317,1,0,1
White,3.2182966747214854,1452,2,1,1
White,3.3466143230952365,1396,2,0,1
White,3.289995318474681,1447,0,0,1
Hispanic,3.1630927235651725,1267,2,0,0
Black,2.6772097195606546,1192,0,0,0
White,2.8388469452138168,1198,1,0,0
Black,3.073902930434486,1199,0,0,0
White,2.594965360491984,1037,1,0,0
White,3.608628834090528,1600,3,1,1
White,3.3027455180079297,1298,1,0,1
White,3.9147953616849636,1563,5,1,1
Asian,3.5687742799065068,1574,4,0,1
White,3.3220942273633556,1458,1,0,1
Hispanic,3.4675652666883643,1447,3,0,1
Black,3.7197089491153803,1515,0,0,1
Hispanic,3.0283634987607613,1425,1,0,1
White,3.3179564812231046,1374,2,0,1
White,3.1799945283124265,1329,2,0,1
White,3.2702727106729403,1414,3,0,1
White,3.293793073069046,1362,2,0,1
White,3.326458130525956,1485,3,0,1
White,3.5756859061662736,1362,3,0,1
Black,3.901124312311649,1508,2,0,1
Black,3.084493074570489,1447,3,0,1
White,2.8268656753182477,1217,8,0,1
White,3.0283665419933805,1361,3,0,1
Asian,3.563686512464024,1488,1,0,1
White,3.1650510924695,1376,0,0,1
White,2.6572543804478577,1118,1,0,0
White,3.386494834881661,1447,2,0,1
Black,3.064737240750634,1381,6,0,1
White,3.0267043828986555,1418,1,0,1
White,3.112726112616295,1362,0,0,1
White,2.8723965038450476,1285,4,0,1
White,3.0891479652417217,1273,4,0,1
White,3.4564088184722728,1473,3,0,1
White,4.0,1437,3,0,1
White,3.876464501168581,1600,3,0,1
Black,2.564076351029662,1226,4,0,0
Hispanic,3.199669084085183,1462,2,0,1
Black,3.5453280727043452,1374,3,0,1
White,3.5863193713404624,1422,2,0,1
White,3.0534970963307573,1218,0,0,0
White,2.973791585841902,1441,3,0,1
Hispanic,3.77257548861999,1491,1,0,1
Black,3.67654698281988,1560,0,0,1
Black,2.93510382512274,1281,1,0,0
White,3.396892432709717,1379,3,0,1
White,3.3101769656594775,1546,4,0,1
White,3.1798526329099244,1427,1,0,1
Asian,3.528750970276806,1498,5,0,1
White,3.3672434570406446,1432,3,0,1
Hispanic,2.756035417892183,1282,2,0,1
Black,2.6099377470579563,1207,2,0,0
White,3.6029731330935237,1533,2,0,1
Hispanic,2.979152220908555,1244,2,0,0
Hispanic,3.459111830102014,1365,1,0,1
Hispanic,3.31374005316909,1215,1,0,1
White,4.0,1494,3,0,1
White,3.072072813439231,1265,4,0,1
White,3.430873693336848,1500,2,0,1
White,3.5057069325766093,1547,3,1,1
White,3.1628761017763267,1410,5,0,1
Hispanic,3.291101126659251,1457,2,0,1
White,3.0517134772650216,1277,4,0,1
White,3.082835745476711,1315,3,0,1
Black,3.1721760566207178,1272,0,1,0
White,3.408930876292026,1508,3,0,1
Hispanic,3.6026383494969307,1458,2,0,1
White,2.7083596082236063,1222,6,0,1
Black,3.5671790898267077,1488,0,0,1
White,3.3996703505978587,1548,0,0,1
White,3.5735978956214236,1494,1,0,1
White,2.8372501538296784,1332,1,0,1
White,2.7770246652954684,1292,4,0,1
Black,3.15770408568208,1265,5,0,1
Black,2.8888552842280433,1194,1,0,0
Hispanic,3.069069429440399,1366,2,0,0
White,3.149281208698893,1270,4,0,1
Asian,3.8495791525340577,1477,3,0,1
Asian,3.555505975922146,1561,3,0,1
White,3.3468910010398716,1421,2,0,1
White,2.566492724876187,1121,0,0,0
Asian,3.931174785568467,1499,3,0,1
Hispanic,2.4023472945079587,1057,4,0,0
White,2.999865171150495,1212,3,0,1
Black,3.4717997234131963,1505,4,0,1
Hispanic,4.0,1539,0,0,1
White,3.4497107966483123,1387,4,0,1
White,3.0392754306573146,1183,2,0,1
White,2.800130796638957,1233,1,0,0
White,3.8951505768327577,1600,5,1,1
White,3.015557747525967,1276,3,0,1
White,3.9565807651375455,1571,3,0,1
White,3.499872755779719,1320,1,0,1
White,3.2928411866865996,1444,2,0,1
White,3.460258401574513,1579,1,0,1
White,3.6702215428316136,1600,4,0,1
Hispanic,3.4702028866036683,1460,2,0,1
White,2.479087224349511,1209,3,0,0
Asian,3.6395911580866667,1600,3,0,1
White,2.2688286964703144,1125,2,0,0
White,3.2681166143336315,1600,5,0,1
Asian,2.8297373549426554,1211,4,0,1
Hispanic,2.9421019928060894,1255,0,0,0
Asian,2.922476920233694,1379,1,0,1
Asian,3.0084995448990997,1115,0,0,0
White,3.2656073931372758,1328,1,0,1
White,2.97522506257168,1393,6,0,1
White,3.3969885621803666,1425,5,0,1
White,3.004689972024105,1471,1,0,1
Hispanic,2.065013634822413,800,2,0,0
Black,2.5907795698315654,1002,0,0,0
White,2.8654983576986655,1104,1,0,0
Hispanic,2.9116282080221927,1312,3,0,0
White,2.8180208879932325,1225,2,0,1
White,2.96130751324937,1300,0,0,1
White,3.3594193811322235,1416,1,0,1
White,3.1723661626698005,1403,1,0,1
Black,3.66308370410143,1366,4,0,1
Hispanic,3.070490281897707,1434,0,0,1
White,2.7399435383841126,1166,3,0,1
White,3.2161268179423446,1439,3,0,1
White,3.1920068314109886,1322,2,1,1
Hispanic,3.563664835489199,1510,0,0,1
White,3.018755637125133,1320,6,0,1
Asian,3.6472005524062547,1447,2,0,1
White,2.655459934968923,1133,1,0,0
White,3.0463526150596554,1397,0,0,1
White,3.245125120744133,1400,0,0,1
White,4.0,1600,2,1,1
Hispanic,3.5240501560908504,1445,1,0,1
Black,2.622193139462156,1006,1,0,0
Hispanic,3.454524989586179,1578,2,0,1
Asian,3.8565001322511194,1600,3,0,1
Hispanic,2.99294852737657,1322,2,0,1
White,3.3438565992904015,1417,2,0,1
Asian,4.0,1540,0,0,1
Black,3.951138569846379,1519,1,0,1
Black,2.9362860978304544,1280,2,1,1
White,2.958615144443548,1500,4,0,1
White,3.813998385189238,1420,3,0,1
White,3.686040337077736,1538,3,0,1
White,2.7302593447475134,1243,0,0,1
White,3.4717630490948546,1463,0,0,1
Hispanic,3.8569439713590477,1489,1,0,1
White,4.0,1600,4,0,1
White,2.842037530918652,1050,4,0,0
White,2.942483504597803,1225,1,0,1
White,3.9051966995405945,1491,3,0,1
White,2.7916544836276054,1138,7,0,1
Black,3.1741030471215455,1504,0,0,1
White,3.1550390119782077,1430,0,0,1
Hispanic,2.9353407720382516,1380,2,1,1
White,2.9055342475391353,1340,1,0,1
White,2.8281290858947132,1140,3,0,1
White,3.0957407566596506,1375,3,0,1
White,3.0160314990043946,1299,0,0,1
White,2.9179450938726927,1394,1,0,1
White,2.584936051673905,1159,4,0,0
White,3.895398680097283,1536,0,0,1
Asian,3.42430362790034,1394,2,0,1
White,3.3317541272469935,1408,0,0,1
Black,3.589149575586994,1465,0,0,1
Hispanic,2.8211968118109128,1345,1,0,0
White,3.2198365554914496,1423,1,0,1
White,3.815930111354766,1600,3,1,1
White,3.789101020102307,1600,2,0,1
White,3.1134102643817516,1404,0,0,1
Hispanic,3.555355637873992,1518,3,0,1
White,3.1853896139010613,1356,3,0,1
White,3.428608261931086,1402,3,0,1
Black,3.273161663165697,1379,4,0,1
White,2.249164386175111,1129,3,0,0
White,3.8857096407338636,1500,1,0,1
White,3.4708880473303223,1524,0,0,1
Black,2.9210970206744626,1054,3,0,0
White,3.1072009687287876,1322,6,0,1
Black,3.1758849603196335,1407,6,0,1
Black,3.5716581152038893,1350,1,0,1
White,3.6864102208846434,1517,3,1,1
White,3.659473690410696,1575,6,0,1
Black,3.540309055960705,1343,2,0,1
White,2.7660357963595144,1139,1,0,0
White,3.504132479714591,1465,5,0,1
Hispanic,3.3888244497501074,1364,3,0,1
White,3.159591664345874,1314,1,0,1
White,3.1650222198780407,1410,0,1,1
White,3.5748144078844795,1478,1,1,1
White,3.522731004297592,1540,3,0,1
White,3.2086296020118326,1406,1,1,1
White,2.437684864890265,1141,2,0,0
White,2.5145089867862476,1318,2,0,0
White,2.610671159782876,1111,2,0,1
White,3.1876034152255173,1391,0,0,1
Hispanic,3.3780561397456523,1164,4,0,1
White,3.4949020651020652,1523,2,0,1
White,3.7945329657150757,1497,2,0,1
White,3.3924929942302593,1529,3,0,1
Black,2.574950831161787,1023,3,0,0
Asian,3.7796049961832345,1568,3,0,1
Asian,4.0,1594,2,0,1
White,3.6493216390192624,1483,2,0,1
White,3.4816978371933094,1514,2,0,1
White,3.8737453798274677,1549,1,0,1
Asian,2.9962071905098386,1222,6,0,1
Asian,3.6024159343453617,1489,4,1,1
White,3.3187526231047957,1334,3,0,1
Black,3.146647608381021,1285,1,0,0
Black,2.1773369943290555,1004,2,0,0
Black,2.721937354900526,1235,3,0,0
White,3.4035621427220084,1338,6,0,1
White,3.5754729131462413,1471,2,0,1
White,3.1167403551701853,1160,2,0,1
White,3.4593623239325866,1443,0,1,1
Black,3.084520653333678,1411,1,0,0
Black,3.1234201905694117,1494,3,0,1
Black,2.9278422438450296,1240,1,0,0
White,3.1726682031062157,1205,2,0,1
Hispanic,3.4436862859145525,1414,1,0,1
White,3.488494374307381,1482,4,0,1
White,3.4323899537967932,1343,2,0,1
White,3.009923425620346,1156,0,0,0
White,3.0235378191949276,1443,1,0,1
Black,3.184911835904837,1366,0,0,0
Black,2.9312001170767137,1300,4,0,1
Black,2.980456398242574,1336,1,0,1
White,3.304995062194827,1388,1,0,1
White,2.991712525263127,1369,4,1,1
Black,3.1377406219490878,1410,1,0,1
White,2.8275031319884003,1232,5,0,1
Asian,3.4011132375072406,1309,2,1,1
Black,3.291065558130582,1332,3,0,1
Asian,3.365210511859436,1600,1,0,1
White,2.9784668742795066,1221,3,0,1
Black,3.6692183431821617,1600,0,0,1
White,3.3285540795463078,1423,1,0,1
Black,3.3265584041049783,1390,4,0,1
Black,3.513844478276705,1432,1,1,1
Black,4.0,1541,3,0,1
Hispanic,2.411490557364921,998,2,0,0
White,3.2992216441473365,1386,2,0,1
Black,3.0518044527142276,1343,2,0,1
White,2.8506423116219386,1074,4,0,1
White,2.5509051621634624,1239,2,0,1
Hispanic,4.0,1600,2,0,1
Black,3.2227038026765733,1445,2,0,1
White,3.7723701821050977,1438,2,0,1
White,3.5363978968273764,1482,4,0,1
White,2.824649746756777,1248,2,0,1
Hispanic,3.313233374864059,1328,3,0,1
White,3.383960535742062,1511,2,0,1
White,3.374709388907329,1353,2,1,1
Black,3.5050320769386683,1381,2,0,1
White,2.6398182000701453,1187,2,0,0
Hispanic,3.6335038817753587,1551,2,0,1
White,3.464823042973233,1545,2,0,1
White,3.1476097922866577,1418,5,0,1
White,3.743562345913661,1527,1,0,1
White,3.5243236532646236,1518,1,0,1
Black,3.2440119165523615,1311,0,0,0
White,3.695550367745937,1600,2,0,1
White,3.2541503650489334,1504,5,0,1
White,3.6048255074552573,1461,1,0,1
Hispanic,3.5687488333588666,1457,4,0,1
White,2.498658626804008,1051,1,0,0
Black,3.9421700769391697,1570,2,0,1
Black,3.585897720990437,1477,0,0,1
Asian,3.519724138708525,1332,2,0,1
White,3.0326456105675996,1429,0,0,1
Black,3.62177007226375,1432,2,0,1
White,2.320938327575082,1117,4,0,0
White,3.1477706544412345,1341,3,0,1
Hispanic,3.134965182552893,1404,3,1,1
White,3.5350916311480596,1464,2,1,1
White,2.7241583102329514,1353,0,0,1
White,3.2260283383518034,1368,1,0,1
White,3.200993247769386,1244,0,0,1
White,3.0634819539652347,1218,5,0,1
White,2.8618008050104233,1169,2,0,0
White,3.285387083369968,1291,2,0,1
White,2.7674592161351432,1246,3,0,1
White,3.0919299043751725,1219,1,0,1
Black,2.438571964655963,1218,2,0,0
White,2.7377700550782844,1156,2,0,1
Black,2.9213917107764673,1294,2,0,1
White,3.497879645408787,1389,0,0,1
White,2.9009578637666213,1170,0,0,1
White,2.8074969465459585,1020,3,0,0
Hispanic,3.0572906171376473,1271,1,1,1
Black,3.5583421027396214,1459,1,0,1
Black,3.8776299808285293,1509,2,0,1
White,3.3028636058026097,1455,4,0,1
Asian,2.6689274573102777,1225,1,0,0
White,2.6407548728115664,1220,1,0,1
Asian,3.0949263509626017,1381,2,0,1
Black,2.414361623981276,1158,1,0,0
Black,3.2798309484006416,1531,1,0,1
White,3.443443264024619,1469,2,0,1
White,2.4328183209455636,1230,2,0,0
Black,3.020006149631553,1308,3,0,1
White,3.1795980950303173,1529,1,0,1
Black,3.5497578681106585,1530,6,0,1
White,3.424230616286592,1432,5,1,1
White,2.8044762808934696,1441,1,0,1
White,3.838369920422007,1525,3,0,1
White,2.798462579473996,1297,1,1,1
Asian,3.3395423244792735,1322,2,0,1
White,3.2224935333967113,1257,4,0,1
Hispanic,3.42983702303149,1462,3,0,1
White,3.3243448916340417,1518,3,0,1
White,3.771793455882353,1469,0,0,1
White,3.0115424852745916,1265,3,0,1
Hispanic,2.771306081553822,1064,4,0,0
White,3.9151455359701193,1505,2,0,1
White,3.4694212721417683,1448,1,0,1
Black,2.7264600546730176,1240,0,0,0
White,2.4039651348952846,1096,2,0,0
White,3.531489329005411,1486,2,0,1
Black,2.9607797758400967,1482,1,0,0
White,4.0,1600,0,0,1
Hispanic,3.4628721419140307,1414,1,0,1
White,3.2999030982651343,1327,0,1,1
Asian,3.605958312836033,1418,3,0,1
White,3.8796900567848422,1598,3,0,1
Black,2.7066206373817576,1204,5,0,1
Black,2.771633762831981,1160,3,0,0
Black,2.9845734435417413,1253,2,0,0
White,3.466694915372111,1393,1,0,1
White,2.724905612528917,1100,7,0,1
Asian,3.2141477454604526,1348,1,0,1
White,2.4216932126301263,1236,3,0,0
Asian,3.2861328085666277,1328,1,0,1
Hispanic,3.3582876868956233,1417,6,0,1
