Race,Age,Prior-Convictions,Charge-Degree,High-Risk
White,45,0,Misdemeanor,0
Black,58,1,Misdemeanor,0
Black,25,2,Felony,1
White,53,0,Misdemeanor,0
Black,21,0,Misdemeanor,0
Black,54,1,Felony,1
Other,25,3,Felony,1
White,27,2,Felony,1
White,44,1,Felony,1
White,61,0,Misdemeanor,0
White,24,0,Felony,0
Other,44,0,Felony,0
White,51,2,Misdemeanor,0
White,46,4,Misdemeanor,0
White,41,2,Felony,1
White,25,0,Felony,1
White,59,1,Felony,0
White,51,0,Misdemeanor,0
Black,45,1,Misdemeanor,1
White,51,0,Misdemeanor,0
White,50,1,Misdemeanor,1
White,29,4,Misdemeanor,1
White,37,1,Misdemeanor,1
White,45,1,Felony,1
White,53,3,Misdemeanor,0
White,23,1,Felony,1
Black,59,1,Felony,0
White,60,3,Felony,1
White,64,2,Felony,0
Black,42,2,Felony,1
Black,44,0,Misdemeanor,0
Black,42,2,Misdemeanor,1
White,55,2,Misdemeanor,0
White,58,2,Felony,0
Black,37,0,Felony,1
Other,49,1,Misdemeanor,0
Black,57,1,Misdemeanor,0
Black,57,0,Felony,0
Black,20,2,Misdemeanor,1
Black,35,3,Misdemeanor,1
Black,28,0,Misdemeanor,1
Other,48,4,Misdemeanor,1
White,39,3,Misdemeanor,0
White,59,2,Felony,0
Black,43,3,Misdemeanor,1
Black,28,2,Felony,1
White,31,1,Misdemeanor,0
Other,54,2,Misdemeanor,0
White,54,0,Misdemeanor,0
White,24,2,Felony,1
Other,46,3,Misdemeanor,1
Black,22,1,Misdemeanor,1
Black,58,1,Misdemeanor,0
White,52,1,Felony,1
White,29,2,Felony,1
Black,56,1,Misdemeanor,0
White,32,0,Misdemeanor,0
White,25,1,Misdemeanor,0
Other,35,3,Misdemeanor,1
Black,50,0,Misdemeanor,0
Other,21,1,Felony,1
White,21,2,Misdemeanor,1
Black,51,0,Misdemeanor,0
Black,62,2,Felony,0
White,37,4,Misdemeanor,1
White,56,0,Misdemeanor,0
White,29,0,Misdemeanor,0
Other,24,2,Felony,1
Other,30,2,Felony,1
Other,46,3,Felony,1
Black,57,2,Misdemeanor,0
Black,36,2,Misdemeanor,1
White,24,1,Felony,1
White,49,2,Misdemeanor,0
Other,56,0,Misdemeanor,0
White,49,3,Misdemeanor,0
White,25,1,Felony,1
White,49,0,Misdemeanor,0
White,49,1,Felony,1
White,28,2,Misdemeanor,0
White,48,3,Misdemeanor,0
White,37,2,Misdemeanor,0
White,58,2,Felony,1
White,35,4,Misdemeanor,1
Black,20,0,Misdemeanor,1
White,21,1,Felony,1
Other,21,1,Misdemeanor,0
White,44,2,Misdemeanor,1
Black,38,0,Misdemeanor,0
White,38,4,Felony,1
White,57,1,Felony,0
Black,56,2,Felony,1
Black,36,0,Misdemeanor,1
White,50,1,Misdemeanor,0
White,46,2,Misdemeanor,0
White,57,0,Misdemeanor,0
Black,19,2,Felony,1
White,41,2,Felony,0
White,63,1,Felony,1
White,48,1,Misdemeanor,0
White,29,3,Felony,1
White,51,1,Felony,0
White,59,0,Felony,0
Black,32,1,Felony,1
Black,47,2,Misdemeanor,1
Black,38,1,Felony,1
Other,28,3,Misdemeanor,1
Black,52,1,Misdemeanor,1
White,35,1,Felony,1
White,35,2,Felony,1
White,33,1,Misdemeanor,0
White,41,1,Misdemeanor,0
White,56,2,Misdemeanor,0
Black,49,1,Felony,1
Black,20,3,Felony,1
White,24,2,Felony,1
Black,34,0,Felony,1
Other,33,1,Misdemeanor,0
Black,37,1,Misdemeanor,1
White,37,1,Misdemeanor,0
White,44,0,Misdemeanor,0
Other,48,1,Misdemeanor,0
White,36,3,Felony,1
White,24,1,Felony,1
White,50,0,Misdemeanor,0
White,42,1,Misdemeanor,0
White,22,4,Felony,1
Black,43,0,Felony,1
Other,60,1,Misdemeanor,0
White,50,3,Misdemeanor,1
Black,27,4,Felony,1
White,42,1,Misdemeanor,1
Black,55,0,Misdemeanor,0
White,35,3,Felony,1
White,22,1,Misdemeanor,1
White,40,1,Felony,1
White,64,0,Misdemeanor,0
Other,24,0,Felony,1
White,33,1,Misdemeanor,0
White,29,1,Felony,1
Black,45,1,Misdemeanor,1
White,64,2,Misdemeanor,0
Black,57,0,Felony,1
Black,42,1,Felony,1
Other,43,2,Felony,1
White,20,0,Misdemeanor,1
White,23,3,Felony,1
White,43,3,Misdemeanor,1
White,36,1,Misdemeanor,1
White,22,0,Misdemeanor,0
White,57,1,Misdemeanor,0
White,62,2,Misdemeanor,1
White,37,1,Felony,1
White,49,2,Misdemeanor,1
White,30,3,Felony,1
White,21,1,Felony,1
Black,28,3,Felony,1
Other,58,0,Misdemeanor,0
White,51,2,Felony,0
Black,48,2,Misdemeanor,1
White,34,1,Misdemeanor,0
Black,51,0,Felony,1
Black,47,3,Felony,1
White,28,1,Misdemeanor,1
Black,55,0,Felony,0
White,48,2,Misdemeanor,1
Black,61,2,Misdemeanor,1
White,32,1,Misdemeanor,1
White,36,1,Misdemeanor,0
Other,62,1,Misdemeanor,0
Black,61,3,Felony,1
Black,57,1,Misdemeanor,0
Black,49,2,Misdemeanor,1
White,37,4,Misdemeanor,1
White,62,0,Misdemeanor,0
Black,39,1,Misdemeanor,1
Black,21,0,Felony,1
White,20,2,Misdemeanor,1
White,39,2,Misdemeanor,1
Black,56,5,Felony,1
White,23,1,Misdemeanor,0
White,54,0,Misdemeanor,0
White,20,0,Misdemeanor,0
Black,45,2,Misdemeanor,0
White,34,2,Misdemeanor,1
Black,52,1,Misdemeanor,1
Other,39,2,Misdemeanor,1
White,26,3,Misdemeanor,1
White,37,1,Felony,1
White,23,1,Misdemeanor,1
Other,55,3,Misdemeanor,0
Black,20,1,Misdemeanor,1
White,42,2,Misdemeanor,0
Other,34,1,Misdemeanor,0
White,63,1,Misdemeanor,0
Black,64,2,Misdemeanor,0
Black,59,6,Misdemeanor,1
Black,47,4,Misdemeanor,0
Black,20,1,Misdemeanor,1
White,52,3,Misdemeanor,0
White,35,3,Misdemeanor,0
White,63,0,Felony,1
White,18,3,Misdemeanor,1
Black,63,1,Felony,0
White,26,1,Misdemeanor,1
Black,32,3,Felony,1
White,35,3,Felony,1
White,47,0,Felony,0
Black,56,0,Felony,0
White,21,1,Felony,1
White,37,1,Misdemeanor,0
Black,55,4,Felony,1
White,50,1,Felony,1
Black,33,1,Felony,1
Black,55,2,Misdemeanor,0
Black,52,3,Misdemeanor,1
White,43,2,Felony,1
White,50,1,Misdemeanor,1
White,26,2,Felony,1
Black,25,1,Misdemeanor,0
Other,64,1,Misdemeanor,0
White,29,1,Misdemeanor,0
White,37,0,Misdemeanor,0
Black,34,2,Felony,1
White,39,0,Misdemeanor,0
White,52,1,Misdemeanor,0
Black,39,1,Felony,1
White,37,4,Misdemeanor,1
Black,29,1,Misdemeanor,0
White,50,2,Misdemeanor,0
White,47,1,Felony,1
Black,41,4,Misdemeanor,1
Black,40,1,Felony,1
Black,54,2,Misdemeanor,0
White,41,3,Misdemeanor,1
Black,46,1,Misdemeanor,0
White,54,3,Misdemeanor,0
Black,28,0,Felony,0
White,32,1,Misdemeanor,0
White,22,1,Misdemeanor,0
White,56,2,Felony,1
White,52,1,Misdemeanor,0
White,18,2,Felony,1
White,62,1,Misdemeanor,0
White,24,7,Misdemeanor,1
White,24,0,Felony,1
White,52,2,Misdemeanor,1
White,29,1,Felony,1
Black,34,1,Felony,1
White,61,2,Misdemeanor,0
Black,52,2,Misdemeanor,1
White,32,2,Misdemeanor,0
Black,58,1,Felony,1
White,64,1,Felony,0
White,19,3,Misdemeanor,1
Other,51,1,Misdemeanor,1
White,42,2,Felony,1
Black,30,2,Felony,1
White,47,1,Misdemeanor,0
Black,36,2,Felony,1
Black,21,0,Felony,1
White,25,1,Misdemeanor,0
White,26,0,Misdemeanor,0
Black,23,1,Misdemeanor,1
Other,32,1,Misdemeanor,0
Black,35,1,Felony,1
White,20,0,Felony,1
White,48,3,Felony,1
Black,53,3,Felony,1
Black,56,0,Felony,0
Black,23,0,Misdemeanor,0
White,50,1,Misdemeanor,0
Black,27,2,Misdemeanor,1
Black,61,1,Misdemeanor,0
White,59,0,Misdemeanor,0
Other,22,0,Misdemeanor,0
Black,45,2,Misdemeanor,1
White,35,2,Misdemeanor,0
Other,39,2,Misdemeanor,1
Black,63,1,Misdemeanor,0
White,33,1,Misdemeanor,0
White,42,1,Felony,0
Black,20,0,Misdemeanor,1
White,43,1,Misdemeanor,0
Black,58,3,Misdemeanor,1
White,47,3,Felony,1
Black,40,1,Misdemeanor,1
Black,35,0,Felony,1
White,39,0,Misdemeanor,0
Black,40,1,Misdemeanor,0
White,22,4,Misdemeanor,1
White,61,1,Felony,0
White,59,2,Felony,0
White,59,0,Misdemeanor,0
White,36,1,Misdemeanor,0
Black,40,1,Felony,1
White,57,2,Misdemeanor,1
White,18,2,Misdemeanor,1
Black,41,1,Felony,1
White,54,2,Misdemeanor,0
Black,45,0,Felony,0
White,18,1,Felony,1
White,21,0,Misdemeanor,0
White,28,3,Misdemeanor,1
Black,24,3,Misdemeanor,1
White,38,2,Misdemeanor,0
White,51,2,Felony,1
White,49,1,Misdemeanor,0
White,25,2,Misdemeanor,0
White,19,1,Misdemeanor,1
Black,43,2,Misdemeanor,0
White,25,1,Misdemeanor,0
Other,43,3,Misdemeanor,1
Black,18,2,Misdemeanor,1
White,22,0,Misdemeanor,0
White,61,1,Felony,0
Black,47,1,Misdemeanor,1
Other,41,1,Misdemeanor,0
Black,30,0,Misdemeanor,1
White,22,4,Felony,1
Black,41,0,Misdemeanor,1
Black,32,2,Misdemeanor,1
Other,46,2,Misdemeanor,0
Black,24,3,Misdemeanor,1
White,43,4,Misdemeanor,1
White,32,0,Felony,1
Black,55,1,Misdemeanor,0
Other,58,1,Felony,0
White,50,1,Misdemeanor,0
Black,29,0,Felony,1
White,52,3,Misdemeanor,1
Black,19,4,Felony,1
White,59,2,Felony,0
Black,23,3,Felony,1
White,61,0,Misdemeanor,0
Black,46,1,Felony,0
White,48,0,Misdemeanor,0
Black,42,0,Misdemeanor,0
Black,20,5,Misdemeanor,1
White,59,1,Misdemeanor,0
Black,54,0,Felony,1
Black,29,1,Misdemeanor,0
White,32,2,Misdemeanor,0
Black,45,2,Misdemeanor,1
Other,21,1,Misdemeanor,1
White,21,0,Felony,0
Black,20,2,Misdemeanor,1
Other,49,0,Misdemeanor,0
White,53,3,Misdemeanor,1
White,40,2,Felony,0
Black,31,2,Misdemeanor,1
White,58,1,Misdemeanor,0
White,38,0,Misdemeanor,0
White,39,2,Misdemeanor,0
White,49,0,Misdemeanor,0
Other,51,3,Felony,1
Black,37,1,Misdemeanor,1
Black,43,1,Misdemeanor,0
White,33,1,Misdemeanor,1
White,43,0,Misdemeanor,0
Black,22,1,Felony,0
Black,45,0,Misdemeanor,0
White,35,3,Misdemeanor,1
Other,55,1,Felony,0
White,36,0,Misdemeanor,0
Black,27,0,Misdemeanor,1
Other,27,1,Felony,0
White,60,4,Felony,1
White,21,5,Misdemeanor,1
White,24,0,Misdemeanor,0
White,59,3,Felony,1
White,50,1,Misdemeanor,0
White,55,0,Misdemeanor,0
White,56,1,Felony,0
White,50,2,Misdemeanor,1
Black,58,1,Misdemeanor,0
White,58,2,Misdemeanor,0
Black,57,3,Misdemeanor,1
White,53,0,Felony,0
Other,51,3,Misdemeanor,1
Other,54,2,Felony,1
White,53,1,Misdemeanor,0
Black,54,1,Felony,0
Black,33,2,Felony,1
Other,46,1,Felony,0
White,39,0,Felony,0
White,33,2,Felony,1
White,47,0,Misdemeanor,0
White,37,2,Felony,1
Black,63,1,Felony,1
White,19,1,Misdemeanor,0
Other,58,0,Misdemeanor,0
White,38,0,Felony,0
Black,27,0,Misdemeanor,1
White,41,2,Felony,0
White,20,1,Misdemeanor,1
White,31,1,Misdemeanor,1
White,51,1,Felony,0
White,53,3,Felony,1
Other,25,2,Felony,1
White,51,1,Felony,0
Black,21,1,Misdemeanor,1
Other,33,0,Felony,0
Black,63,2,Felony,1
White,31,0,Misdemeanor,0
White,48,0,Misdemeanor,0
White,40,0,Misdemeanor,0
Black,52,2,Misdemeanor,1
White,61,1,Misdemeanor,0
White,41,2,Felony,0
White,20,2,Felony,1
Black,20,2,Felony,1
White,21,2,Misdemeanor,0
Black,22,3,Misdemeanor,1
White,27,2,Misdemeanor,1
White,43,1,Felony,0
Black,52,0,Misdemeanor,1
Black,34,1,Misdemeanor,1
Black,56,4,Felony,1
White,55,1,Misdemeanor,0
Black,48,3,Felony,1
Black,54,2,Misdemeanor,0
White,31,1,Felony,1
White,34,1,Misdemeanor,0
White,50,0,Felony,0
Black,42,3,Misdemeanor,1
Black,19,1,Misdemeanor,1
White,35,0,Misdemeanor,0
Black,30,1,Felony,1
Black,19,0,Misdemeanor,1
White,64,0,Felony,0
White,56,2,Misdemeanor,0
White,41,2,Misdemeanor,0
White,47,1,Misdemeanor,0
White,43,1,Misdemeanor,0
White,28,3,Felony,1
White,37,0,Misdemeanor,0
Black,22,2,Misdemeanor,1
White,40,1,Misdemeanor,1
White,40,1,Misdemeanor,0
Black,27,2,Felony,1
Other,44,0,Misdemeanor,0
White,55,2,Misdemeanor,0
White,49,4,Misdemeanor,1
White,18,1,Misdemeanor,1
Other,42,0,Felony,0
Black,48,0,Misdemeanor,0
White,34,0,Misdemeanor,0
Black,57,3,Misdemeanor,0
Black,63,3,Misdemeanor,1
White,29,3,Felony,1
White,50,0,Misdemeanor,0
White,30,1,Misdemeanor,0
White,26,2,Misdemeanor,0
White,27,2,Felony,1
Black,53,2,Misdemeanor,0
Other,39,3,Misdemeanor,1
Black,52,4,Misdemeanor,1
White,61,2,Misdemeanor,0
White,27,1,Misdemeanor,0
Black,42,0,Misdemeanor,0
Other,62,0,Misdemeanor,0
White,37,1,Misdemeanor,1
White,63,1,Felony,1
Black,43,1,Felony,1
White,62,2,Misdemeanor,0
Black,37,0,Misdemeanor,0
White,32,2,Misdemeanor,1
Black,48,2,Misdemeanor,1
White,44,3,Misdemeanor,1
White,37,0,Misdemeanor,0
White,19,1,Felony,0
Black,58,1,Misdemeanor,0
Black,34,1,Misdemeanor,1
Black,23,0,Misdemeanor,1
White,55,1,Misdemeanor,0
White,18,1,Felony,0
White,29,1,Misdemeanor,0
White,60,0,Misdemeanor,0
Black,41,2,Misdemeanor,1
White,40,2,Felony,1
White,59,1,Felony,0
Black,28,1,Misdemeanor,0
Black,51,0,Misdemeanor,0
Black,18,0,Misdemeanor,1
White,31,2,Misdemeanor,0
Black,50,2,Misdemeanor,1
White,18,1,Misdemeanor,0
White,19,0,Misdemeanor,0
Black,54,2,Felony,1
Black,45,0,Misdemeanor,0
White,26,1,Misdemeanor,0
Black,47,0,Felony,0
White,32,1,Misdemeanor,1
White,28,3,Misdemeanor,0
White,30,3,Felony,1
White,55,2,Felony,1
Other,52,2,Misdemeanor,0
White,37,2,Misdemeanor,1
White,41,3,Misdemeanor,1
Other,42,1,Misdemeanor,0
Black,21,1,Felony,1
White,31,2,Misdemeanor,1
White,38,2,Misdemeanor,0
Black,59,4,Misdemeanor,0
White,57,3,Felony,1
White,59,1,Felony,1
White,60,0,Misdemeanor,0
Black,61,0,Felony,1
White,43,2,Misdemeanor,1
White,48,2,Misdemeanor,0
White,64,0,Felony,0
White,28,3,Misdemeanor,0
White,27,4,Misdemeanor,1
White,43,2,Misdemeanor,1
Other,45,0,Felony,0
Black,28,0,Felony,1
White,25,3,Misdemeanor,1
Black,25,1,Felony,1
White,46,3,Misdemeanor,0
White,63,0,Felony,0
White,29,3,Misdemeanor,1
White,38,2,Felony,1
Black,57,0,Misdemeanor,0
White,20,2,Misdemeanor,1
White,27,3,Felony,1
White,46,1,Misdemeanor,1
White,27,1,Misdemeanor,1
White,41,0,Misdemeanor,0
White,42,0,Misdemeanor,0
White,49,0,Felony,0
Black,29,3,Misdemeanor,1
Other,44,1,Felony,0
White,28,2,Misdemeanor,0
White,61,2,Felony,1
White,52,0,Misdemeanor,0
White,31,1,Felony,1
White,42,3,Felony,1
Black,18,0,Felony,1
White,35,1,Misdemeanor,1
Black,29,0,Misdemeanor,1
Black,43,1,Misdemeanor,0
Black,18,2,Misdemeanor,1
White,38,2,Felony,1
Black,19,0,Misdemeanor,0
Black,60,3,Misdemeanor,1
Other,25,0,Misdemeanor,0
Black,53,0,Misdemeanor,0
White,62,4,Misdemeanor,0
Black,37,3,Felony,1
White,48,1,Misdemeanor,0
White,50,1,Felony,0
Black,64,2,Misdemeanor,0
Other,39,1,Misdemeanor,1
Black,27,3,Misdemeanor,1
Black,63,3,Misdemeanor,1
White,35,2,Felony,1
White,28,0,Misdemeanor,0
Other,40,1,Felony,1
White,54,0,Misdemeanor,0
White,40,2,Misdemeanor,0
White,34,1,Misdemeanor,0
Other,30,3,Misdemeanor,0
Black,58,0,Felony,1
White,39,3,Felony,1
White,50,2,Misdemeanor,0
Other,18,2,Felony,1
White,36,4,Misdemeanor,1
White,54,1,Felony,0
Black,55,2,Misdemeanor,0
White,50,2,Felony,0
White,55,0,Felony,1
White,18,1,Misdemeanor,0
White,43,3,Felony,1
Black,31,2,Misdemeanor,1
White,45,1,Misdemeanor,1
Black,32,1,Misdemeanor,1
White,27,3,Misdemeanor,1
White,39,1,Misdemeanor,0
Black,43,3,Misdemeanor,1
White,50,2,Misdemeanor,0
Other,51,0,Misdemeanor,0
White,22,3,Misdemeanor,0
Black,45,1,Misdemeanor,0
Black,51,3,Misdemeanor,1
White,38,1,Misdemeanor,0
White,52,0,Misdemeanor,0
White,39,0,Felony,0
Black,40,0,Felony,1
Black,42,2,Felony,1
White,41,3,Misdemeanor,1
Black,47,3,Misdemeanor,1
Black,60,3,Misdemeanor,1
White,40,3,Felony,1
White,39,2,Felony,1
Black,51,3,Misdemeanor,1
White,39,3,Misdemeanor,1
Black,42,0,Misdemeanor,0
White,37,3,Misdemeanor,1
White,52,2,Misdemeanor,1
Other,57,1,Misdemeanor,0
